Bob Dylan,Bob Dylan,1,You're No Good
Bob Dylan,Bob Dylan,2,Talkin' New York
Bob Dylan,Bob Dylan,3,In My Time of Dyin'
Bob Dylan,Bob Dylan,4,Man of Constant Sorrow
Bob Dylan,Bob Dylan,5,Fixin' to Die
Bob Dylan,Bob Dylan,6,Pretty Peggy-O
Bob Dylan,Bob Dylan,7,Highway 51 Blues
Bob Dylan,Bob Dylan,8,Gospel Plow
Bob Dylan,Bob Dylan,9,Baby Let Me Follow You Down
Bob Dylan,Bob Dylan,10,House of the Risin' Sun
Bob Dylan,Bob Dylan,11,Freight Train Blues
Bob Dylan,Bob Dylan,12,Song to Woody
Bob Dylan,Bob Dylan,13,See That My Grave Is Kept Clean
Bob Dylan,Blonde on Blonde,1,Rainy Day Women
Bob Dylan,Blonde on Blonde,2,Pledging My Time
Bob Dylan,Blonde on Blonde,3,Visions of Johanna
Bob Dylan,Blonde on Blonde,4,One of Us Must Know (Sooner or Later)
Bob Dylan,Blonde on Blonde,5,I Want You
Bob Dylan,Blonde on Blonde,6,Stuck Inside of Mobile with the Memphis Blues Again
Bob Dylan,Blonde on Blonde,7,Leopard-Skin Pill-Box Hat
Bob Dylan,Blonde on Blonde,8,Just Like a Woman
Bob Dylan,Blonde on Blonde,9,Most Likely You Go Your Way (And I'll Go Mine)
Bob Dylan,Blonde on Blonde,10,Temporary Like Achilles
Bob Dylan,Blonde on Blonde,11,Absolutely Sweet Marie
Bob Dylan,Blonde on Blonde,12,Fourth Time Around
Bob Dylan,Blonde on Blonde,13,Obviously Five Believers
Bob Dylan,Blonde on Blonde,14,Sad-Eyed Lady of the Lowlands